player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Maghnes Akliouche,France,MF,24,Monaco,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
Malo Gusto,France,DF,23,Chelsea,5,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.0,4.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,21-25
Manu Koné,France,MF,25,Roma,5,385.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,77.0,6.0,7.0,0.0,1.0,3.0,5.0,0.0,0.0,0.23376623376623376,0.23376623376623376,21-25
Marcus Thuram,France,FW,28,Inter,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Maxence Lacroix,France,DF,26,Crystal Palace,3,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,5.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,26-30
Michael Olise,France,MF,24,Bayern Munich,8,646.0,0.0,7.0,1.0,0.0,20.0,5.0,0.0,0.0,81.0,5.0,16.0,0.0,22.0,3.0,8.0,0.0,0.9752321981424149,0.1393188854489164,0.1393188854489164,21-25
Mike Maignan,France,GK,30,Milan,8,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Ousmane Dembélé,France,MF,29,PSG,8,592.0,6.0,2.0,0.0,0.0,20.0,10.0,0.3,0.6,74.0,0.0,4.0,3.0,34.0,0.0,2.0,0.9121621621621622,0.30405405405405406,0.0,0.0,26-30
Rayan Cherki,France,MF,22,Manchester City,7,130.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21-25
Theo Hernández,France,DF,28,Al-Hilal,5,257.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,51.0,2.0,4.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,26-30
Warren Zaïre-Emery,France,MF,20,PSG,2,110.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,55.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16-20
William Saliba,France,DF,25,Arsenal,6,479.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,80.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21-25
Aleksandar Pavlovic,Germany,MF,22,Bayern Munich,4,272.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,68.0,13.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.33088235294117646,0.33088235294117646,21-25
Angelo Stiller,Germany,MF,25,Stuttgart,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21-25
Antonio Rüdiger,Germany,DF,33,Real Madrid,4,262.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,66.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31-35
David Raum,Germany,DF,28,RB Leipzig,2,108.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,2.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,26-30
Deniz Undav,Germany,FW,29,Stuttgart,4,151.0,3.0,2.0,0.0,0.0,6.0,4.0,0.5,0.75,38.0,3.0,0.0,0.0,1.0,0.0,0.0,1.7880794701986755,1.1920529801324504,0.0,0.0,26-30
Felix Nmecha,Germany,MF,25,Dortmund,4,270.0,1.0,1.0,0.0,0.0,8.0,3.0,0.13,0.3333333333333333,68.0,3.0,3.0,0.0,2.0,2.0,9.0,0.33333333333333337,0.33333333333333337,0.0,0.0,21-25
Florian Wirtz,Germany,MF,23,Liverpool,4,361.0,0.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,90.0,1.0,3.0,1.0,13.0,2.0,6.0,0.0,0.7479224376731303,0.0,0.0,21-25
Jamal Musiala,Germany,MF,23,Bayern Munich,4,270.0,1.0,0.0,1.0,0.0,6.0,1.0,0.17,1.0,68.0,5.0,11.0,0.0,5.0,1.0,5.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,21-25
Jamie Leweling,Germany,FW,25,Stuttgart,1,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,31.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
Jonathan Tah,Germany,DF,30,Bayern Munich,4,372.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,93.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,26-30
Joshua Kimmich,Germany,DF,31,Bayern Munich,4,351.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,88.0,0.0,7.0,0.0,31.0,4.0,4.0,0.0,0.5128205128205129,0.0,0.0,31-35
Kai Havertz,Germany,FW,27,Arsenal,4,353.0,3.0,0.0,1.0,0.0,12.0,7.0,0.17,0.42857142857142855,88.0,3.0,4.0,1.0,1.0,1.0,2.0,0.764872521246459,0.0,0.254957507082153,0.254957507082153,26-30
Leon Goretzka,Germany,MF,31,Bayern Munich,3,99.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,33.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,31-35
Leroy Sané,Germany,MF,30,Galatasaray,4,326.0,1.0,0.0,0.0,0.0,6.0,2.0,0.17,0.5,82.0,3.0,2.0,1.0,10.0,2.0,3.0,0.27607361963190186,0.0,0.0,0.0,26-30
Malick Thiaw,Germany,DF,24,Newcastle,2,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21-25
Manuel Neuer,Germany,GK,40,Bayern Munich,4,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36-40
Maximilian Beier,Germany,FW,23,Dortmund,1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
